"","participant_id","world_record","competition_record","national_record","personal_record"
"1",1,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"2",8,"Extremely interested","Moderately interested","Not interested at all","Slightly interested"
"3",24,"Very interested","Very interested","Moderately interested","Moderately interested"
"4",28,"Extremely interested","Very interested","Slightly interested","Extremely interested"
"5",29,"Extremely interested","Very interested","Slightly interested","Very interested"
"6",30,"Moderately interested","Moderately interested","Slightly interested","Slightly interested"
"7",39,"Not interested at all","Very interested","Not interested at all","Very interested"
"8",41,"Very interested","Moderately interested","Very interested","Moderately interested"
"9",42,"Very interested","Slightly interested","Not interested at all","Moderately interested"
"10",46,"Very interested","Very interested","Very interested","Very interested"
"11",50,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"12",51,"Extremely interested","Very interested","Moderately interested","Very interested"
"13",52,"Extremely interested","Very interested","Slightly interested","Not interested at all"
"14",56,"Very interested","Very interested","Extremely interested","Extremely interested"
"15",57,"Extremely interested","Moderately interested","Very interested","Moderately interested"
"16",60,"Extremely interested","Very interested","Slightly interested","Very interested"
"17",64,"Extremely interested","Very interested","Extremely interested","Moderately interested"
"18",69,"Slightly interested","Slightly interested","Not interested at all","Slightly interested"
"19",70,"Extremely interested","Extremely interested","Slightly interested","Moderately interested"
"20",71,"Very interested","Very interested","Very interested","Very interested"
"21",72,"Extremely interested","Extremely interested","Not interested at all","Extremely interested"
"22",73,"Extremely interested","Extremely interested","Extremely interested","Not interested at all"
"23",74,"Extremely interested","Very interested","I do not know. / I did not understand the question.","Not interested at all"
"24",75,"Moderately interested","Slightly interested","Very interested","Extremely interested"
"25",76,"Extremely interested","Extremely interested","Not interested at all","Not interested at all"
"26",78,"Very interested","Very interested","Slightly interested","Very interested"
"27",79,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"28",81,"Extremely interested","Very interested","Very interested","Very interested"
"29",83,"Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"30",84,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"31",85,"Extremely interested","Extremely interested","Very interested","Extremely interested"
"32",88,"Extremely interested","Very interested","Moderately interested","Very interested"
"33",89,"Very interested","Very interested","Very interested","Very interested"
"34",91,"Extremely interested","Extremely interested","Very interested","Extremely interested"
"35",93,"Extremely interested","Very interested","Very interested","Very interested"
"36",95,"Very interested","Very interested","Not interested at all","Not interested at all"
"37",97,"Extremely interested","Extremely interested","Slightly interested","Moderately interested"
"38",98,"Very interested","Very interested","Very interested","Very interested"
"39",101,"Very interested","Moderately interested","Slightly interested","Slightly interested"
"40",102,"Slightly interested","Slightly interested","Not interested at all","Slightly interested"
"41",105,"Extremely interested","Very interested","Moderately interested","Very interested"
"42",107,"Extremely interested","Slightly interested","Very interested","Extremely interested"
"43",110,"Very interested","Moderately interested","Moderately interested","Extremely interested"
"44",114,"Moderately interested","Not interested at all","Not interested at all","Very interested"
"45",115,"Extremely interested","Very interested","Slightly interested","Very interested"
"46",119,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"47",121,"Very interested","Very interested","Moderately interested","Very interested"
"48",123,"Slightly interested","Extremely interested","Slightly interested","Slightly interested"
"49",124,"Extremely interested","Extremely interested","Not interested at all","Extremely interested"
"50",126,"Very interested","Moderately interested","Very interested","Very interested"
"51",129,"Extremely interested","Extremely interested","Slightly interested","Very interested"
"52",131,"Extremely interested","Very interested","Moderately interested","Not interested at all"
"53",132,"Very interested","Very interested","Very interested","Very interested"
"54",134,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"55",135,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"56",140,"Extremely interested","Extremely interested","Slightly interested","Slightly interested"
"57",141,"Extremely interested","Not interested at all","Not interested at all","Very interested"
"58",142,"Very interested","Not interested at all","Not interested at all","Very interested"
"59",145,"Slightly interested","Slightly interested","Slightly interested","Not interested at all"
"60",147,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"61",149,"Extremely interested","Very interested","Very interested","Moderately interested"
"62",153,"Extremely interested","Extremely interested","Very interested","Extremely interested"
"63",154,"Very interested","Moderately interested","Moderately interested","Very interested"
"64",160,"Very interested","Moderately interested","Moderately interested","Moderately interested"
"65",161,"Extremely interested","Very interested","Extremely interested","Extremely interested"
"66",162,"Very interested","Very interested","Very interested","Very interested"
"67",164,"Very interested","Very interested","Very interested","Very interested"
"68",165,"Very interested","Moderately interested","Moderately interested","Slightly interested"
"69",166,"Extremely interested","Moderately interested","Extremely interested","Very interested"
"70",169,"Very interested","Not interested at all","Not interested at all","Slightly interested"
"71",171,"Extremely interested","Extremely interested","Moderately interested","Very interested"
"72",174,"Extremely interested","Not interested at all","Extremely interested","Extremely interested"
"73",177,"Extremely interested","Very interested","Very interested","Extremely interested"
"74",178,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"75",179,"Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"76",181,"Extremely interested","Extremely interested","Extremely interested","Very interested"
"77",185,"Very interested","Moderately interested","Very interested","Very interested"
"78",186,"Very interested","Moderately interested","Moderately interested","Slightly interested"
"79",187,"Very interested","Very interested","Not interested at all","Very interested"
"80",190,"Moderately interested","Moderately interested","Slightly interested","Slightly interested"
