"","participant_id","social_media_followers","social_media_by_swimmer","sponsor"
"1",1,"Moderately interested","Slightly interested","Slightly interested"
"2",8,"Not interested at all","Not interested at all","Not interested at all"
"3",24,"I do not know. / I did not understand the question.","Moderately interested","I do not know. / I did not understand the question."
"4",28,"Not interested at all","Not interested at all","Not interested at all"
"5",29,"Not interested at all","Moderately interested","Slightly interested"
"6",30,"Not interested at all","Not interested at all","Not interested at all"
"7",39,"Not interested at all","Not interested at all","Not interested at all"
"8",41,"Not interested at all","Not interested at all","Not interested at all"
"9",42,"Not interested at all","Not interested at all","Not interested at all"
"10",46,"Slightly interested","Slightly interested","Slightly interested"
"11",50,"Moderately interested","Moderately interested","Moderately interested"
"12",51,"Not interested at all","Not interested at all","Slightly interested"
"13",52,"Slightly interested","Slightly interested","Not interested at all"
"14",56,"Not interested at all","Slightly interested","Not interested at all"
"15",57,"Not interested at all","Not interested at all","Not interested at all"
"16",60,"Not interested at all","Moderately interested","Slightly interested"
"17",64,"Slightly interested","Moderately interested","Slightly interested"
"18",69,"Not interested at all","Not interested at all","Not interested at all"
"19",70,"Not interested at all","Moderately interested","Not interested at all"
"20",71,"Not interested at all","Not interested at all","Not interested at all"
"21",72,"Not interested at all","Not interested at all","Not interested at all"
"22",73,"Not interested at all","Not interested at all","Not interested at all"
"23",74,"Not interested at all","Extremely interested","Not interested at all"
"24",75,"Not interested at all","Not interested at all","Not interested at all"
"25",76,"Not interested at all","Not interested at all","Not interested at all"
"26",78,"Not interested at all","Not interested at all","Not interested at all"
"27",79,"Not interested at all","Not interested at all","Not interested at all"
"28",81,"Not interested at all","Slightly interested","Not interested at all"
"29",83,"Not interested at all","Slightly interested","Slightly interested"
"30",84,"Not interested at all","Not interested at all","Not interested at all"
"31",85,"Not interested at all","Not interested at all","Not interested at all"
"32",88,"Moderately interested","Moderately interested","Slightly interested"
"33",89,"Slightly interested","Slightly interested","Not interested at all"
"34",91,"Slightly interested","Slightly interested","Slightly interested"
"35",93,"Not interested at all","Slightly interested","Not interested at all"
"36",95,"Not interested at all","Not interested at all","Not interested at all"
"37",97,"Not interested at all","Not interested at all","Not interested at all"
"38",98,"Not interested at all","Not interested at all","Not interested at all"
"39",101,"Not interested at all","Not interested at all","Not interested at all"
"40",102,"Not interested at all","Not interested at all","Not interested at all"
"41",105,"Not interested at all","Not interested at all","Not interested at all"
"42",107,"Not interested at all","Slightly interested","Slightly interested"
"43",110,"Not interested at all","Not interested at all","Not interested at all"
"44",114,"Not interested at all","Slightly interested","Not interested at all"
"45",115,"Slightly interested","Slightly interested","Slightly interested"
"46",119,"Moderately interested","Moderately interested","Not interested at all"
"47",121,"Not interested at all","Not interested at all","Not interested at all"
"48",123,"Not interested at all","Not interested at all","Not interested at all"
"49",124,"Not interested at all","Not interested at all","Not interested at all"
"50",126,"Slightly interested","Slightly interested","Not interested at all"
"51",129,"Moderately interested","Slightly interested","Moderately interested"
"52",131,"Slightly interested","Slightly interested","I do not know. / I did not understand the question."
"53",132,"I do not know. / I did not understand the question.","Slightly interested","I do not know. / I did not understand the question."
"54",134,"Not interested at all","Not interested at all","Not interested at all"
"55",135,"Not interested at all","Not interested at all","Not interested at all"
"56",140,"Not interested at all","Not interested at all","Not interested at all"
"57",141,"Not interested at all","Not interested at all","Not interested at all"
"58",142,"Not interested at all","Not interested at all","Not interested at all"
"59",145,"Not interested at all","Not interested at all","Not interested at all"
"60",147,"Slightly interested","Slightly interested","Slightly interested"
"61",149,"Slightly interested","Moderately interested","Moderately interested"
"62",153,"Moderately interested","Moderately interested","Not interested at all"
"63",154,"Slightly interested","Slightly interested","Slightly interested"
"64",160,"Not interested at all","Not interested at all","Not interested at all"
"65",161,"Not interested at all","Not interested at all","Not interested at all"
"66",162,"Not interested at all","Not interested at all","Not interested at all"
"67",164,"Slightly interested","Moderately interested","Slightly interested"
"68",165,"Not interested at all","Not interested at all","Very interested"
"69",166,"Slightly interested","Moderately interested","Not interested at all"
"70",169,"Not interested at all","Not interested at all","Not interested at all"
"71",171,"Not interested at all","Slightly interested","Not interested at all"
"72",174,"Not interested at all","Not interested at all","Not interested at all"
"73",177,"Not interested at all","Not interested at all","Moderately interested"
"74",178,"Moderately interested","Moderately interested","Slightly interested"
"75",179,"Slightly interested","Slightly interested","Slightly interested"
"76",181,"Not interested at all","Not interested at all","Slightly interested"
"77",185,"Not interested at all","Slightly interested","Not interested at all"
"78",186,"Moderately interested","Slightly interested","Not interested at all"
"79",187,"Slightly interested","Moderately interested","Slightly interested"
"80",190,"Not interested at all","Not interested at all","Not interested at all"
